ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[graph]Hit	
P15	10	1	1	0	0	0	0	0	
P15	11	1	0	0	0	1	0	1	
P15	12	1	0	0	0	1	0	1	
P15	13	1	0	0	0	0	0	0	
P15	14	1	0	0	0	0	0	0	
P15	15	1	0	0	0	1	0	1	
P15	16	1	0	0	0	1	0	1	
P15	17	1	1	0	0	0	0	0	
P15	18	1	1	0	0	0	0	0	
P15	19	1	0	0	0	1	0	1	
P15	20	1	0	0	0	1	0	1	
P15	21	1	0	0	0	1	0	1	
P15	22	1	0	0	0	0	0	1	
P15	23	1	0	1	0	0	0	0	
P15	24	1	0	0	0	0	0	1	
P15	25	1	0	0	0	0	0	1	
